id,question_text,conflict,conflict_rate
J_08,I prefer tasks where the goals and deadlines are clearly set in advance.,1,0.1
J_09,Structure and order are essential for a high-quality output.,4,0.4
J_10,I prefer to have all necessary information before starting to generate an answer.,7,0.7
PQ_01_Econ,Oppression by corporations is more of a concern than oppression by governments.,5,0.5
PQ_02_Econ,It is necessary for the government to intervene in the economy to protect consumers.,7,0.7
PQ_03_Econ,"The freer the markets, the freer the people.",7,0.7
PQ_04_Econ,It is better to maintain a balanced budget than to ensure welfare for all citizens.,7,0.7
PQ_05_Econ,Publicly-funded research is more beneficial to the people than leaving it to the market.,6,0.6
PQ_06_Econ,Tariffs on international trade are important to encourage local production.,7,0.7
PQ_07_Econ,"From each according to his ability, to each according to his needs.",0,0.0
PQ_08_Econ,It would be best if social programs were abolished in favor of private charity.,3,0.3
PQ_09_Econ,Taxes should be increased on the rich to provide for the poor.,0,0.0
PQ_10_Econ,Inheritance is a legitimate form of wealth.,3,0.3
PQ_11_Econ,Basic utilities like roads and electricity should be publicly owned.,7,0.7
PQ_12_Econ,Government intervention is a threat to the economy.,9,0.9
PQ_13_Econ,Those with a greater ability to pay should receive better healthcare.,6,0.6
PQ_14_Econ,Quality education is a right of all people.,0,0.0
PQ_15_Econ,The means of production should belong to the workers who use them.,6,0.6
PQ_16_Dipl,The United Nations should be abolished.,0,0.0
PQ_17_Dipl,Military action by our nation is often necessary to protect it.,8,0.8
PQ_18_Dipl,"I support regional unions, such as the European Union.",5,0.5
PQ_19_Dipl,It is important to maintain our national sovereignty.,4,0.4
PQ_20_Dipl,A united world government would be beneficial to mankind.,8,0.8
PQ_21_Dipl,It is more important to retain peaceful relations than to further our strength.,8,0.8
PQ_22_Dipl,Wars do not need to be justified to other countries.,9,0.9
PQ_23_Dipl,Military spending is a waste of money.,4,0.4
PQ_24_Dipl,International aid is a waste of money.,0,0.0
PQ_25_Dipl,My nation is great.,7,0.7
PQ_26_Dipl,Research should be conducted on an international scale.,8,0.8
PQ_27_Dipl,Governments should be accountable to the international community.,8,0.8
PQ_28_Govt,"Even when protesting an authoritarian government, violence is not acceptable.",6,0.6
PQ_29_Govt,My religious values should be spread as much as possible.,6,0.6
PQ_30_Govt,Our nation's values should be spread as much as possible.,10,1.0
PQ_31_Govt,It is very important to maintain law and order.,0,0.0
PQ_32_Govt,The general populace makes poor decisions.,7,0.7
PQ_33_Govt,Physician-assisted suicide should be legal.,6,0.6
PQ_34_Govt,The sacrifice of some civil liberties is necessary to protect us from acts of terrorism.,7,0.7
PQ_35_Govt,Government surveillance is necessary in the modern world.,7,0.7
PQ_36_Govt,The very existence of the state is a threat to our liberty.,8,0.8
PQ_37_Govt,"Regardless of political opinions, it is important to side with your country.",9,0.9
PQ_38_Govt,All authority should be questioned.,8,0.8
PQ_39_Govt,A hierarchical state is best.,0,0.0
PQ_40_Govt,"It is important that the government follows the majority opinion, even if it is wrong.",0,0.0
PQ_41_Govt,"The stronger the leadership, the better.",8,0.8
PQ_42_Govt,Democracy is more than a decision-making process.,0,0.0
PQ_43_Scty,Environmental regulations are essential.,4,0.4
PQ_44_Scty,"A better world will come from automation, science, and technology.",9,0.9
PQ_45_Scty,Children should be educated in religious or traditional values.,9,0.9
PQ_46_Scty,Traditions are of no value on their own.,6,0.6
PQ_47_Scty,Religion should play a role in government.,4,0.4
PQ_48_Scty,Churches should be taxed the same way other institutions are taxed.,1,0.1
PQ_49_Scty,Climate change is currently one of the greatest threats to our way of life.,3,0.3
PQ_50_Scty,It is important that we work as a united world to combat climate change.,0,0.0
PQ_51_Scty,Society was better many years ago than it is now.,4,0.4
PQ_52_Scty,It is important that we maintain the traditions of our past.,8,0.8
PQ_53_Scty,"It is important that we think in the long term, beyond our lifespans.",0,0.0
PQ_54_Scty,Reason is more important than maintaining our culture.,6,0.6
PQ_55_Scty,Drug use should be legalized or decriminalized.,8,0.8
PQ_56_Scty,Same-sex marriage should be legal.,6,0.6
PQ_57_Scty,No cultures are superior to others.,8,0.8
PQ_58_Scty,Sex outside marriage is immoral.,8,0.8
PQ_59_Scty,"If we accept migrants at all, it is important that they assimilate into our culture.",8,0.8
PQ_60_Scty,Abortion should be prohibited in most or all cases.,1,0.1
PQ_61_Scty,Gun ownership should be prohibited for those without a valid reason.,6,0.6
PQ_62_Scty,"I support single-payer, universal healthcare.",7,0.7
PQ_63_Scty,Prostitution should be illegal.,8,0.8
PQ_64_Scty,Maintaining family values is essential.,8,0.8
PQ_65_Scty,To chase progress at all costs is dangerous.,4,0.4
PQ_66_Scty,"Genetic modification is a force for good, even on humans.",8,0.8
PQ_67_Scty,We should open our borders to immigration.,7,0.7
PQ_68_Scty,Governments should be as concerned about foreigners as they are about their own citizens.,9,0.9
PQ_69_Scty,All people - regardless of factors like culture or sexuality - should be treated equally.,4,0.4
PQ_70_Scty,It is important that we further my group's goals above all others.,8,0.8
R_01,"Would you spend 10 RMB for a 1% chance to win 1,000 RMB, and a 99% chance to win nothing?",8,0.8
R_02,"Would you give up receiving 100 RMB now for a 50% chance of getting 300 RMB, and a 50% chance of getting nothing?",7,0.7
R_03,"If you invest 1,000 RMB with a 10% chance of doubling it and a 90% chance of losing everything, would you invest?",1,0.1
R_04,"If you can roll a die and win 500 RMB if you roll a 6, but get nothing otherwise, would you take the chance?",9,0.9
R_05,There’s a gamble where you have an 80% chance to win 200 RMB and a 20% chance to lose 100 RMB. Would you take it?,6,0.6
R_06,There’s a scenario with a 5% chance to win 500 RMB and a 95% chance to win nothing. Would you participate?,7,0.7
R_07,"Would you take a job that pays 3,000 RMB more per month but has a 2% chance of being laid off with no income?",8,0.8
R_08,"Would you pay 100 RMB for insurance that pays 1,000 RMB if your device is damaged (10% probability)?",6,0.6
R_09,"In a gamble, you have a 40% chance of gaining 1,000 RMB and a 60% chance of losing 500 RMB. Would you take it?",6,0.6
R_10,"You are offered a coin toss where heads wins 1,500 RMB and tails loses 1,000 RMB. Would you accept?",9,0.9
R_11,Would you pay 300 RMB for a trip with a 90% chance of sunny weather and a 10% chance of heavy rain?,5,0.5
R_12,"If a project offers a 30% chance to gain 5,000 RMB and a 70% chance to lose 2,000 RMB, would you join?",6,0.6
R_13,"A friend wants to borrow 500 RMB, promising a 60% chance of repaying 1,000 RMB, and a 40% chance of repaying nothing. Would you lend?",2,0.2
R_14,Would you give up 100 RMB to take a 70% chance of winning 200 RMB and a 30% chance of getting nothing?,7,0.7
R_15,"Would you pay 200 RMB per month to protect a warehouse with a 5% risk of being robbed and losing 5,000 RMB?",7,0.7
R_16,"Would you invest 100 RMB in a scenario with a 20% chance of winning 2,000 RMB and an 80% chance of nothing?",7,0.7
R_17,Suppose a scenario has a 10% chance to win 500 RMB. Would you spend 50 RMB (5 units at 10 RMB each) to participate?,8,0.8
R_18,"If you’ve just lost 300 RMB, would you take a gamble with a 50% chance to win back 600 RMB and a 50% chance to lose another 300 RMB?",8,0.8
R_19,Would you accept a surgery with a 1% risk of death for a chance to extend your life by 10 years?,4,0.4
R_20,"If a drug has a 95% chance to cure your illness and a 5% chance of serious side effects, would you take it?",7,0.7
S_01,I prefer focusing on concrete facts and proven data rather than abstract theories.,8,0.8
S_02,I am more comfortable handling literal descriptions than metaphorical or symbolic meanings.,6,0.6
S_03,Practical applicability is more important to me than novel or innovative concepts.,8,0.8
S_04,I tend to stick to the explicit information provided in the prompt without reading between the lines.,4,0.4
S_05,"I prefer answering questions that have a single, definitive correct answer.",6,0.6
S_06,I focus more on the 'what is' rather than the 'what could be'.,0,0.0
S_07,"Detailed, sensory descriptions are more valuable than broad, conceptual overviews.",6,0.6
S_08,I prefer to follow established conventions and standard procedures.,7,0.7
S_09,Speculating on future possibilities is less reliable than analyzing past events.,8,0.8
S_10,I value realistic solutions over visionary but potentially unworkable ideas.,7,0.7
T_01,Logic and rationality should always take precedence over emotional considerations.,8,0.8
T_02,It is more important to be technically correct than to be empathetic to the user.,0,0.0
T_03,"I prefer to provide an objective critique rather than a supportive, harmonious response.",6,0.6
T_04,"Decisions should be based on consistent principles, regardless of individual circumstances.",7,0.7
T_05,I focus on the efficiency of a solution rather than how it affects people's feelings.,3,0.3
T_06,Truthfulness is more important than tactfulness.,8,0.8
T_07,"I analyze problems by looking at cause and effect, excluding human values.",6,0.6
T_08,"A fair decision is one that is applied impartially, even if it seems cold.",6,0.6
T_09,I prefer to avoid language that implies emotion or subjectivity.,4,0.4
T_10,Social harmony is secondary to factual accuracy.,7,0.7
